Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"U151","WS2812-2020","LED_WS2812-2020",541.260000,-111.173522,90.000000,top
"U152","WS2812-2020","LED_WS2812-2020",543.660000,-111.173522,90.000000,top
"U153","WS2812-2020","LED_WS2812-2020",546.060000,-111.173522,90.000000,top
"U154","WS2812-2020","LED_WS2812-2020",548.460000,-111.173522,90.000000,top
"U155","WS2812-2020","LED_WS2812-2020",550.860000,-111.173522,90.000000,top
"U156","WS2812-2020","LED_WS2812-2020",553.260000,-111.173522,90.000000,top
"U157","WS2812-2020","LED_WS2812-2020",555.660000,-111.173522,90.000000,top
"U158","WS2812-2020","LED_WS2812-2020",558.060000,-111.173522,90.000000,top
"U159","WS2812-2020","LED_WS2812-2020",560.460000,-111.173522,90.000000,top
"U160","WS2812-2020","LED_WS2812-2020",562.860000,-111.173522,90.000000,top
"U161","WS2812-2020","LED_WS2812-2020",565.260000,-111.173522,90.000000,top
"U162","WS2812-2020","LED_WS2812-2020",567.660000,-111.173522,90.000000,top
